No.,お題,A,B,C,D,E,F,G
35,コンビニで一番イラッとする客,会計後に財布探す,大量の公共料金,ホットスナックで長考,一円玉を数え出す,店員と無駄話,スマホ見ながら適当,割り込みスレスレ
36,異世界に一つ持っていくなら？,トイレットペーパー,歯ブラシ,シャンプー・石鹸,マヨネーズ等の調味料,ライター,爪切り,高反発マットレス
37,居酒屋のセンスあるおつまみ,梅水晶,エイヒレ炙り,チャンジャ,だし巻き卵,手作りポテサラ,タコわさ,モロキュウ
38,最強の調味料,醤油,マヨネーズ,塩,ケチャップ,ごま油,ポン酢,塩コショウ
39,RPGで使いたい武器,剣,弓,杖,槍,斧,銃,素手
40,マックの定番バーガー,ビッグマック,てりやきマックバーガー,ダブルチーズバーガー,フィレオフィッシュ,えびフィレオ,チキンフィレオ,ハンバーガー
41,ファンタジー世界の自分の属性,炎,水,風,土,雷,光,闇
42,一生住むならどこ？,大都会,地方都市,ド田舎,海沿い,山奥,南の島,海外
43,アニメ・漫画の最強ジャンル,異世界・ファンタジー,日常・コメディ,ロボット・メカ,バトル・王道,ラブコメ,サスペンス,スポーツ
44,好きな季節のイベント,お正月,バレンタイン,お花見,夏休み,ハロウィン,クリスマス,大晦日
45,廃墟に一緒に行くなら？,Nariko,Kabu,aro,Kirua,Taker,はむろ,Poaro
46,鬼畜ゲーを一緒にやるなら？,Fami,Daich1,Kabu,つばちゃん,なかぴー,なえちゃう,Jeyy
47,一生一つのゲームしかできないなら？,Valorant,Minecraft,League of Legends,Escape From Tarkov,雀魂,Overwatch,Kovaaks
48,限界まで酒を飲むなら？,チャミスル,クライナー,テキーラ,日本酒,ウイスキー,レモンサワー原液,ストロングゼロ
49,一番イラッとするデス,走り撃ちHS,角待ちショットガン,味方のフラッシュ,モク抜き,スキル死,落下死,ナイフキル
50,この中で一番仲良くしたいのは？,Raze,Viper,Fade,Chamber,Sova,Yoru,Deadlock
51,デスゲームで最後まで生き残りそうなのは？,はむろ,つばちゃん,Nariko,Daich1,なかぴー,KZR,Fami
52,一生行けないと嫌な場所,マクドナルド,遊園地,AEONモール,ローソン,アウトレット,映画館,パチンコ屋
53,飛行機の操縦を任せるなら誰？,Poaro,Nariko,KZR,なかぴー,Taker,Churro,Daich1
54,この中でなれるならどれが良い？,キリト,はじめしゃちょー,大谷翔平,Ado,自分,山田涼介,Laz
55,一生一ジャンルしか聴けないなら？,ロック,ボカロ,バラード,ラップ,アニソン,Ado,クラシック
56,【特殊】この中で酒を飲むべきは？,Daich1,Nariko,つばちゃん,なかぴー,Aro,Kirua,Kabu
57,ラーメンに必須のトッピング,チャーシュー,味玉,ネギ,のり,メンマ,もやし,にんにく
58,コンビニスイーツで買うなら,シュークリーム,プリン,エクレア,どら焼き,ワッフル,ロールケーキ,大福
59,鍋で一番好きな具,肉,白菜,豆腐,きのこ,〆のうどん,つみれ,ネギ
60,カレーに乗せたいトッピング,とんかつ,チーズ,卵,福神漬け,らっきょう,ほうれん草,唐揚げ
61,ピザで許せない具,パイナップル,アンチョビ,ピーマン,コーン,生ハム,エビ,ゆで卵
62,給食で一番の当たりメニュー,揚げパン,カレー,ソフト麺,冷凍みかん,ミルメーク,わかめご飯,きなこ餅
63,ファミレスで頼みがち,ハンバーグ,ドリア,パフェ,ドリンクバー,ステーキ,ピザ,唐揚げ
64,冷凍庫に常備したいもの,餃子,チャーハン,アイス,から揚げ,うどん,ピザ,たこ焼き
65,一番テンション上がる肉料理,和牛ステーキ,焼肉,ローストビーフ,唐揚げ,ハンバーグ,生ハム,トンカツ
66,スーパーで無限に食える惣菜,コロッケ,唐揚げ,ポテサラ,焼き鳥,フライドチキン,天ぷら,メンチカツ
67,二日酔いの朝に欲しいもの,水,味噌汁,ポカリ,ラーメン,二度寝,迎え酒,うどん
68,飲み会の締めは,ラーメン,うどん,お茶漬け,アイス,締めない,パフェ,おにぎり
69,家飲みのお供,ポテチ,柿ピー,チーズ,枝豆,さきいか,ナッツ,からあげ
70,スマホのホーム画面一軍アプリ,LINE,X,YouTube,ゲーム,TikTok,インスタ,電卓
71,デートで行きたい場所,水族館,映画,遊園地,カフェ,夜景,家,ショッピング
72,老後にやってみたいこと,世界旅行,田舎暮らし,趣味三昧,孫と遊ぶ,起業,のんびり,移住
73,透明人間になったら最初に何する,銀行,のぞき見,いたずら,タダ乗り,有名人に接近,サボる,本音を聞く
74,100億もらう代わりに失うなら,友達,自由時間,睡眠,味覚,スマホ,記憶の一部,一生海外禁止
75,世界を救うのに必要なのは,金,愛,科学,勇気,運,団結,諦めない心
76,生き返らせるなら,歴史の偉人,好きな有名人,ペット,先祖,発明家,音楽家,いない
77,バトルで使うなら最強の能力,発火,瞬間移動,予知,怪力,治癒,透明化,電撃
78,ゲームで思わず課金する瞬間,ガチャ,スキン,時短,追加ストーリー,限定イベント,便利機能,推しキャラ
79,同窓会で言われたいこと,変わらないね,大人になった,出世したね,若い,綺麗になった,面白いまま,幸せそう
80,テンション上がる集まり,飲み会,旅行,ゲーム大会,BBQ,カラオケ,鍋パ,誕生日会
81,頼れる友達の条件,話を聞く,秘密を守る,お金貸せる,すぐ駆けつける,冷静,面白い,裏切らない
82,友達にされて一番嬉しいこと,覚えててくれる,話を聞く,さりげない気遣い,褒める,誘ってくれる,頼ってくれる,味方する
83,久々の再会でやりがち,昔話,近況報告,写真見返す,恋バナ,愚痴,次の予定決め,飲みすぎ
84,言われて一番テンション上がる言葉,好き,天才,かわいい,さすが,おつかれ,ありがとう,おごるよ
85,生まれ変わったらなりたい職業,医者,芸能人,パイロット,公務員,社長,YouTuber,研究者
86,テンション下がる休日の天気,大雨,猛暑,極寒,強風,花粉,曇り,雪
87,もし動物を飼うなら,犬,猫,うさぎ,ハムスター,鳥,爬虫類,魚
88,一番幸せを感じる瞬間,寝る前,美味しい物,風呂,推し活,給料日,褒められた時,何もしない時
89,地味に一番ほしい日常スキル,早起き,料理上手,片付け上手,暗算,物覚え,人の顔と名前,髪がすぐ乾く
90,家に絶対欲しい家電,食洗機,ロボ掃除機,ドラム式洗濯機,大型テレビ,高機能エアコン,電子レンジ,コーヒーメーカー
91,くじで当てたいもの,現金,旅行券,高級家電,車,ゲーム機,食べ放題券,一年分の米
92,お弁当に入っててうれしいおかず,唐揚げ,卵焼き,ハンバーグ,ウインナー,エビフライ,ミートボール,焼き鮭
93,テンションが上がる食べ放題,焼肉,寿司,スイーツ,ピザ・パスタ,中華,しゃぶしゃぶ,ホテルビュッフェ
94,スタバで頼む人気メニュー,キャラメルマキアート,カフェモカ,抹茶フラペチーノ,キャラメルフラペチーノ,ダークモカチップフラペチーノ,カフェラテ,期間限定フラペチーノ
95,夏に一番テンション上がるもの,海,花火,夏祭り,スイカ,かき氷,プール,夏休み
96,冬に一番幸せを感じる瞬間,こたつ,温泉,鍋,雪景色,イルミネーション,あったかい布団,クリスマス
97,連休の理想の過ごし方,旅行,家でゴロゴロ,イベント,帰省,ショッピング,趣味没頭,寝だめ
98,仕事・バイトの一番のモチベ,給料,人間関係,やりがい,定時で帰れる,感謝される,成長,暇な時間
99,家が火事、1つだけ持ち出すなら,スマホ,財布,アルバム,パソコン,ペット,思い出の品,現金
100,恋人にされたら冷める行動,既読無視,店員に横柄,清潔感ない,嘘,時間にルーズ,束縛,元恋人の話
101,欲しいドラえもんの道具,どこでもドア,タイムマシン,タケコプター,翻訳こんにゃく,暗記パン,スモールライト,バイバイン
